draw,entry,eci
0,Gemma 1.1 2B IT [Instruction-tuned (IT)],101.35848831946564
0,Gemma 1.1 7B IT [Instruction-tuned (IT)],110.50712644325742
0,Gemma 2 27B IT [Instruction-tuned (IT)],121.54254389970255
0,Gemma 2 27B [Pretrained (PT)],116.43439116309936
0,Gemma 2 2B IT [Instruction-tuned (IT)],107.99286770880552
0,Gemma 2 2B [Pretrained (PT)],99.19715739240249
0,Gemma 2 9B IT [Instruction-tuned (IT)],119.53871933434381
0,Gemma 2 9B [Pretrained (PT)],111.26486272198147
0,Gemma 2B IT [Instruction-tuned (IT)],91.77052691402498
0,Gemma 2B [Pretrained (PT)],95.81744428768896
0,Gemma 3 12B IT [Instruction-tuned (IT)],128.45021282889428
0,Gemma 3 12B [Pretrained (PT)],116.769460923586
0,Gemma 3 1B IT [Instruction-tuned (IT)],106.08600258494121
0,Gemma 3 1B [Pretrained (PT)],78.73460692091369
0,Gemma 3 27B IT [Instruction-tuned (IT)],130.58223461746505
0,Gemma 3 27B [Pretrained (PT)],120.06408841388203
0,Gemma 3 4B IT [Instruction-tuned (IT)],119.01359349021035
0,Gemma 3 4B [Pretrained (PT)],105.22100674189005
0,Gemma 3n E2B IT [Instruction-tuned (IT)],114.51259902731184
0,Gemma 3n E2B [Pretrained (PT)],98.24113193092371
0,Gemma 3n E4B IT [Instruction-tuned (IT)],113.4030255459928
0,Gemma 3n E4B [Pretrained (PT)],106.2347830450968
0,"Gemma 4 12B [IT, Thinking mode]",141.84165985410735
0,"Gemma 4 26B A4B [IT, Thinking mode]",142.0537231275033
0,"Gemma 4 31B [IT, Thinking mode]",144.42695757223467
0,"Gemma 4 E2B [IT, Thinking mode]",129.69907534876435
0,"Gemma 4 E4B [IT, Thinking mode]",134.5947543447952
0,Gemma 7B IT [Instruction-tuned (IT)],102.42612627254837
0,Gemma 7B [Pretrained (PT)],110.42033765170184
0,Llama-2-13b-chat-hf [Instruct/chat],105.6338315227732
0,Llama-2-13b-hf [Pretrained (PT)],102.98775119827724
0,Llama-2-7b-chat-hf [Instruct/chat],104.87698218153497
0,Llama-2-7b-hf [Pretrained (PT)],98.69919016713642
0,Llama-3.1-8B [Pretrained (PT)],95.22278238217649
0,Llama-3.1-8B-Instruct [Instruct/chat],118.0223268108812
0,Llama-3.2-1B [Pretrained (PT)],89.78212351459189
0,Llama-3.2-1B-Instruct [Instruct/chat],106.6778324642173
0,Llama-3.2-3B [Pretrained (PT)],106.10185696076618
0,Llama-3.2-3B-Instruct [Instruct/chat],117.30241296550149
0,Meta-Llama-3-8B [Pretrained (PT)],101.3646099940683
0,Meta-Llama-3-8B-Instruct [Instruct/chat],121.08306133623228
0,OLMo-1B-hf [Pretrained (PT)],93.29441733745637
0,OLMo-2-1124-7B-Instruct [Instruct/chat],114.92978024401711
0,OLMo-7B-Instruct-hf [Instruct/chat],104.1337961891044
0,OLMo-7B-hf [Pretrained (PT)],98.4863306408723
0,OLMoE-1B-7B-0125-Instruct [Instruct/chat],114.95442002672759
0,OLMoE-1B-7B-0924 [Pretrained (PT)],96.96019229816517
0,OLMoE-1B-7B-0924-Instruct [Instruct/chat],110.05238440258267
0,Phi-3-medium-128k-instruct [Instruct/chat],120.18035172856757
0,Phi-3-medium-4k-instruct [Instruct/chat],122.50225139755068
0,Phi-3-mini-128k-instruct [Instruct/chat],117.69399620237598
0,Phi-3-mini-4k-instruct [Instruct/chat],117.87050762431618
0,Phi-3-small-128k-instruct [Instruct/chat],120.90975594445118
0,Phi-3-small-8k-instruct [Instruct/chat],121.9046816059476
0,Phi-3.5-mini-instruct [Instruct/chat],118.74895569741814
0,Phi-4-mini-instruct [Instruct/chat],121.09459306804376
0,Qwen-1.8B-Chat [Instruct/chat],100.13864732614948
0,Qwen-14B-Chat [Instruct/chat],110.5438019036538
0,Qwen-7B-Chat [Instruct/chat],105.0034559449023
0,Qwen1.5-0.5B-Chat [Instruct/chat],79.11544978922365
0,Qwen1.5-1.8B [Base (no official chat academic scores)],100.81559754839064
0,Qwen1.5-1.8B-Chat [Instruct/chat],92.16781903176543
0,Qwen1.5-14B [Base (no official chat academic scores)],110.27575799282118
0,Qwen1.5-14B-Chat [Instruct/chat],102.49232245180991
0,Qwen1.5-32B [Base (no official chat academic scores)],111.84595876200065
0,Qwen1.5-32B-Chat [Instruct/chat],119.92698088467769
0,Qwen1.5-4B [Base (no official chat academic scores)],106.44668051591702
0,Qwen1.5-4B-Chat [Instruct/chat],103.97646775344307
0,Qwen1.5-7B [Base (no official chat academic scores)],108.30653787640732
0,Qwen1.5-7B-Chat [Instruct/chat],107.31176706665721
0,Qwen2-0.5B-Instruct [Instruct/chat],95.73206052802777
0,Qwen2-1.5B-Instruct [Instruct/chat],107.42914023461394
0,Qwen2-7B-Instruct [Instruct/chat],118.7456071421936
0,Qwen2.5-0.5B-Instruct [Instruct/chat],105.67615447452745
0,Qwen2.5-1.5B-Instruct [Instruct/chat],114.06107784479141
0,Qwen2.5-14B-Instruct [Instruct/chat],127.67292866014046
0,Qwen2.5-32B-Instruct [Instruct/chat],130.03841518112728
0,Qwen2.5-3B-Instruct [Instruct/chat],119.63682158895145
0,Qwen2.5-7B-Instruct [Instruct/chat],124.47982107902489
0,Qwen3-0.6B [Non-thinking mode],107.56099823900189
0,Qwen3-0.6B [Thinking mode],113.85537236688096
0,Qwen3-1.7B [Non-thinking mode],118.67741571855723
0,Qwen3-1.7B [Thinking mode],124.55557896709057
0,Qwen3-14B [Non-thinking mode],128.93761076144722
0,Qwen3-14B [Thinking mode],137.24960547307558
0,Qwen3-30B-A3B [Non-thinking mode],129.96818078781757
0,Qwen3-30B-A3B [Thinking mode],137.9541372435905
0,Qwen3-30B-A3B-Instruct-2507 [Instruct (non-thinking)],135.96676775415204
0,Qwen3-30B-A3B-Thinking-2507 [Thinking],140.198822722765
0,Qwen3-32B [Non-thinking mode],131.80020203116558
0,Qwen3-32B [Thinking mode],138.15504372717294
0,Qwen3-4B [Non-thinking mode],126.39055623145059
0,Qwen3-4B [Thinking mode],135.6267966688656
0,Qwen3-4B-Instruct-2507 [Instruct (non-thinking)],132.7884147447125
0,Qwen3-4B-Thinking-2507 [Thinking],135.10547169534286
0,Qwen3-8B [Non-thinking mode],128.6259887473586
0,Qwen3-8B [Thinking mode],136.28289655826072
0,Qwen3.5-0.8B [Non-thinking rows],113.72747177585657
0,Qwen3.5-0.8B [Thinking (default)],111.41049800288181
0,Qwen3.5-27B [Thinking (default)],145.95910520934208
0,Qwen3.5-2B [Non-thinking rows],122.37437489945316
0,Qwen3.5-2B [Thinking (default)],130.26931763168542
0,Qwen3.5-35B-A3B [Thinking (default)],142.84270783294056
0,Qwen3.5-4B [Thinking (default)],139.6931952428596
0,Qwen3.5-9B [Thinking (default)],142.5039937016682
0,Qwen3.6-27B [Thinking (default)],145.50622086026996
0,Qwen3.6-35B-A3B [Thinking (default)],143.181287217289
0,Qwen3.8-27B [Thinking (default)],151.98592207999647
0,SmolLM-1.7B [Pretrained (PT)],96.60130983147982
0,SmolLM-1.7B-Instruct [Instruct/chat],95.53223734244065
0,SmolLM-135M [Pretrained (PT)],95.33134452463514
0,SmolLM-135M-Instruct [Instruct/chat],85.3093479708013
0,SmolLM-360M [Pretrained (PT)],95.3587078535311
0,SmolLM-360M-Instruct [Instruct/chat],84.27132728067804
0,SmolLM2-1.7B [Pretrained (PT)],105.95077661065852
0,SmolLM2-1.7B-Instruct [Instruct/chat],110.16796651704655
0,SmolLM2-135M [Pretrained (PT)],88.0525655176191
0,SmolLM2-135M-Instruct [Instruct/chat],97.46048353257406
0,SmolLM2-360M [Pretrained (PT)],95.19554552534348
0,SmolLM2-360M-Instruct [Instruct/chat],105.1184069888538
0,phi-1 [Pretrained (PT)],93.74031817768464
0,phi-1_5 [Pretrained (PT)],86.02863137710558
0,phi-2 [Pretrained (PT)],105.18887344279162
0,phi-4 [Pretrained (PT)],130.30357819558756
1,Gemma 1.1 2B IT [Instruction-tuned (IT)],91.25674723029505
1,Gemma 1.1 7B IT [Instruction-tuned (IT)],107.41771453623271
1,Gemma 2 27B IT [Instruction-tuned (IT)],121.58526550542474
1,Gemma 2 27B [Pretrained (PT)],116.44042716518817
1,Gemma 2 2B IT [Instruction-tuned (IT)],112.97606779255939
1,Gemma 2 2B [Pretrained (PT)],98.51138459949027
1,Gemma 2 9B IT [Instruction-tuned (IT)],118.89082602781151
1,Gemma 2 9B [Pretrained (PT)],110.61347405898849
1,Gemma 2B IT [Instruction-tuned (IT)],92.03879326586781
1,Gemma 2B [Pretrained (PT)],94.6412688955773
1,Gemma 3 12B IT [Instruction-tuned (IT)],127.08516377873134
1,Gemma 3 12B [Pretrained (PT)],117.73559358308509
1,Gemma 3 1B IT [Instruction-tuned (IT)],99.81567344227219
