model,eci,date
GPT-5.6 Sol,161.65,2026-07-09
Claude Fable 5,161.53,2026-06-09
GPT-5.5 Pro,161.49,2026-04-23
Claude Opus 5,161.02,2026-07-24
GPT-5.5,159.21,2026-04-23
GPT-5.6 Terra,158.96,2026-07-09
GPT-5.4 Pro,158.46,2026-03-05
Claude Opus 4.8,157.88,2026-05-28
Kimi K3,157.01,2026-07-16
GPT-5.4,156.69,2026-03-05
GPT-5.6 Luna,156.13,2026-07-09
Qwen 3.8 Max,156.05,2026-07-19
Claude Opus 4.7,155.76,2026-04-16
GPT-5.3 Codex,155.69,2026-02-05
Claude Sonnet 5,155.53,2026-06-30
Claude Opus 4.6,155.15,2026-02-05
GPT-5.2 Pro,155.03,2025-12-11
Gemini 3.1 Pro,154.75,2026-02-19
Muse Spark 1.1,154.75,2026-07-09
Gemini 3.5 Flash,154.56,2026-05-19
Grok 4.5,154.02,2026-07-08
Gemini 3.6 Flash,153.98,2026-07-21
Qwen3.7-Max,153.81,2026-05-19
GPT-5.2,153.52,2025-12-11
Gemini 3 Pro,153.20,2025-11-18
Muse Spark,152.79,2026-04-08
DeepSeek V4 Flash 0731,152.53,2026-07-31
Claude Sonnet 4.6,152.39,2026-02-17
GLM-5.2,152.21,2026-06-16
Grok 4.20,152.20,2026-02-17
Gemini 3 Flash,151.68,2025-12-17
Kimi K2.6,151.11,2026-04-20
GLM-5.1,150.74,2026-04-07
Kimi K2.7 Code,150.54,2026-06-12
GPT-5 Pro,150.33,2025-10-07
GPT-5.1-Codex-Max,150.08,2025-11-19
GPT-5,150.00,2025-08-07
Claude Opus 4.5,149.91,2025-11-24
GPT-5.1,149.64,2025-11-13
Inkling,149.54,2026-07-15
Qwen 3.6 Max (Preview),149.39,2026-04-20
DeepSeek-V4-Pro,149.07,2026-04-24
Grok 4.3 Beta,149.01,2026-04-17
Qwen 3.6 Plus,149.01,2026-04-01
GPT-5.4 Mini,148.91,2026-03-17
MiniMax-M3,148.74,2026-06-01
Kimi K2.5,148.06,2026-02-02
o3-pro,147.54,2025-06-10
o3,146.90,2024-12-20
Grok 4,146.85,2025-07-09
Qwen 3.5 Plus (hosted 397B-A17B),146.84,2026-02-16
Claude Sonnet 4.5,146.83,2025-09-29
MiniMax-M2.5,146.66,2026-02-12
DeepSeek-V3.2,146.37,2025-12-01
o4-mini,146.31,2025-04-16
GPT-5.4 Nano,146.24,2026-03-17
GLM-5,146.12,2026-02-11
MiniMax-M2.7,145.89,2026-03-18
Kimi K2 Thinking,145.86,2025-11-06
Gemini 2.5 Pro (Jun 2025),145.77,2025-06-05
GPT-5 mini,145.64,2025-08-07
DeepSeek-V3.2-Exp,144.79,2025-09-29
Qwen3-235B-A22B-Thinking (Jul 2025),144.61,2025-07-25
Gemini 2.5 Pro (Mar 2025),144.53,2025-03-25
Grok 4 Fast,144.46,2025-09-19
Claude Opus 4.1,144.19,2025-08-05
Gemini 3.1 Flash-Lite,144.17,2026-03-03
Qwen 3.6 Flash,144.11,2026-04-26
Qwen 3.5 Flash (hosted 35B-A3B),143.94,2026-02-25
GLM-4.7,143.71,2025-12-22
Qwen3-Max,143.62,2025-09-05
Qwen 3.6 35B-A3B,143.50,2026-04-14
Gemini 2.5 Flash (Sep 2025),143.06,2025-09-25
Claude Opus 4,142.85,2025-05-22
Nemotron 3 Ultra,142.83,2026-06-04
Claude Haiku 4.5,142.80,2025-10-15
Gemini 2.5 Pro (May 2025),142.73,2025-05-06
Mistral Medium 3.5,142.64,2026-04-29
o1,142.45,2024-12-05
Gemma 4 31B IT,142.28,2026-04-02
Claude Sonnet 4,142.12,2025-05-22
Gemini 2.5 Flash (May 2025),142.11,2025-05-20
DeepSeek-R1 (May 2025),141.79,2025-05-28
Claude 3.7 Sonnet,141.61,2025-02-24
o3-mini,141.31,2025-01-31
Grok-3 mini,140.87,2025-02-19
GLM-4.6,140.86,2025-09-30
GPT-5 nano,140.81,2025-08-07
Gemini 2.5 Flash (Apr 2025),140.54,2025-04-17
gpt-oss-120b,140.48,2025-08-05
Kimi K2 (Jul 2025),140.32,2025-07-11
Gemini 2.5 Flash (Jun 2025),140.12,2025-06-17
DeepSeek-R1,139.51,2025-01-20
Qwen3-235B-A22B,139.46,2025-04-28
Grok 3,138.88,2025-02-17
Qwen3-235B-A22B-Instruct (Jul 2025),138.84,2025-07-25
GPT-4.5,137.42,2025-02-27
GPT-4.1,137.32,2025-04-14
DeepSeek-V3 (Mar 2025),136.86,2025-03-24
o1-mini,136.45,2024-09-12
Gemini 2.0 Flash Thinking (Jan 2025),136.06,2025-01-21
o1-preview,135.66,2024-09-12
GPT-4.1 mini,135.62,2025-04-14
Gemini 2.0 Flash (Feb 2025),135.61,2024-12-11
Gemini 2.0 Pro,135.43,2024-12-11
Mistral Medium 3,135.16,2025-05-07
Gemini 2.0 Flash (Dec 2024),134.95,2024-12-11
Claude 3.5 Sonnet (October 2024),134.23,2024-10-22
Qwen2.5-Max,133.21,2025-01-25
Magistral Small 1.0,132.91,2025-06-10
DeepSeek-V3,132.87,2024-12-24
Llama 4 Maverick,132.84,2025-04-05
Gemini 1.5 Pro (Sept 2024),132.51,2024-09-24
Phi-4,130.84,2024-12-12
Gemma 3 27B,130.83,2025-03-12
GPT-4.1 nano,130.65,2025-04-14
Grok-2 (Dec 2024),130.56,2024-08-13
Llama 4 Scout,130.32,2025-04-05
Gemini 1.5 Flash (Sep 2024),130.16,2024-05-10
Claude 3.5 Sonnet,130.00,2024-06-20
GPT-4o (Nov 2024),129.06,2024-05-13
Qwen2.5-72B,128.76,2024-09-19
GPT-4o (Aug 2024),128.75,2024-05-13
Llama 3.1-405B,128.73,2024-07-23
GPT-4o (May 2024),128.57,2024-05-13
Mistral Large 2 (Nov 2024),128.54,2024-07-24
Mistral Small 3.1,127.46,2025-03-17
GPT-4 Turbo (Apr 2024),127.27,2024-04-09
Mistral Large 2 (Jul 2024),127.24,2024-07-24
Llama 3.3 70B,127.20,2024-12-06
Claude 3.5 Haiku,127.20,2024-10-22
Gemini 1.5 Pro (May 2024),126.91,2024-05-14
Claude 3 Opus,126.65,2024-03-04
GPT-4o mini,126.64,2024-07-18
GPT-4 Turbo (Nov 2023),125.83,2023-11-06
GPT-4 (Mar 2023),125.70,2023-03-15
Llama 3.2 90B,125.38,2024-09-24
Llama 3.1-70B,125.20,2024-07-23
Qwen2-72B,124.93,2024-06-07
DeepSeek-V2 (MoE-236B May 2024),124.26,2024-05-07
Amazon Nova Pro,123.55,2024-12-03
Llama 3-70B,122.23,2024-04-18
Gemini 1.5 Flash (May 2024),122.17,2024-05-10
Gemma 2 27B,122.09,2024-06-24
GPT-4 (Jun 2023),121.48,2023-06-13
phi-3-small 7.4B,121.24,2024-04-23
Mixtral 8x22B,120.88,2024-04-17
Claude Instant,120.71,2023-08-09
phi-3-medium 14B,120.65,2024-04-23
Mistral Large,120.62,2024-02-26
