benchmark,edi,slope,baseline
TriviaQA,57.79,0.0210,0.0
LAMBADA,59.59,0.0216,0.0
PIQA,86.39,0.0222,0.5
HellaSwag,87.10,0.0416,0.25
OpenBookQA,106.06,0.0900,0.25
GSM8K,106.10,0.1063,0.0
ARC AI2,106.66,0.1000,0.25
Lech Mazur Writing,107.76,0.0383,0.0
Winogrande,110.70,0.0522,0.5
MMLU,110.89,0.0767,0.25
ScienceQA,111.40,0.0965,0.25
BBH,113.83,0.1009,0.25
GeoBench,119.93,0.0364,0.0
ANLI,127.39,0.0792,0.33333
MATH level 5,128.30,0.1815,0.0
Fiction.LiveBench,135.69,0.1281,0.0
GPQA diamond,136.05,0.1194,0.25
SWE-Bench Verified (Bash Only),136.44,0.0717,0.0
OTIS Mock AIME 2024-2025,138.37,0.2312,0.001
Aider polyglot,138.85,0.1683,0.0
CadEval,140.36,0.0971,0.0
WeirdML,145.43,0.0849,0.0
ARC-AGI,145.93,0.2253,0.0
Cybench,146.04,0.2147,0.0
OSWorld,146.28,0.1346,0.0
The Agent Company,146.99,0.1472,0.0
Surface Evolver Bench,147.79,0.1549,0.0
Terminal Bench,148.74,0.1692,0.0
FrontierMath-2025-02-28-Private,150.13,0.2425,0.0
FrontierMath-Tiers-1-3-v2-Private,150.14,0.1780,0.0
VPCT,150.58,0.3344,0.0
SimpleBench,151.17,0.1005,0.16667
CursorBench,152.24,0.1046,0.0
ARC-AGI-2,153.34,0.3518,0.0
Balrog,153.44,0.0513,0.0
SimpleQA Verified,154.30,0.0847,0.0
DeepResearch Bench,155.63,0.0290,0.0
GDPval,156.43,0.0751,0.0
FrontierMath-Tier-4-v2-Private,156.44,0.2910,0.0
GBAEval,157.52,0.4219,0.0
FrontierMath-Tier-4-2025-07-01-Private,158.57,0.2332,0.0
Chess Puzzles,159.33,0.1214,0.0
HLE,159.46,0.1440,0.0
GSO-Bench,159.73,0.1790,0.0
FrontierCode,160.02,0.1018,0.0
APEX-Agents,160.52,0.1372,0.0
ExploitBench,163.78,0.1069,0.0
EBR-bench,165.22,0.1594,0.0
CritPt,165.31,0.1602,0.0
PostTrainBench,167.57,0.0970,0.0
OSWorld 2.0,170.94,0.1226,0.0
Remote Labor Index,171.39,0.1735,0.0
CL-bench Life,175.49,0.0740,0.0
CL-bench,181.86,0.0457,0.0
