Model,Display name,eci,eci_ci_low,eci_ci_high,date,Organization,Country (of organization),Model accessibility,Accessibility group,model_versions
GPT-5.6 Sol,GPT-5.6 Sol,161.65,159.11,164.85,2026-07-09,OpenAI,United States of America,API access,Closed weights,
Claude Fable 5,Claude Fable 5,161.53,158.87,164.66,2026-06-09,Anthropic,United States of America,API access,Closed weights,
GPT-5.5 Pro,GPT-5.5 Pro,161.49,158.57,164.64,2026-04-23,OpenAI,United States of America,API access,Closed weights,
Claude Opus 5,Claude Opus 5,161.02,158.66,164.22,2026-07-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.5,GPT-5.5,159.21,156.81,161.98,2026-04-23,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Terra,GPT-5.6 Terra,158.96,156.47,161.55,2026-07-09,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Pro,GPT-5.4 Pro,158.46,156.26,161.3,2026-03-05,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.8,Claude Opus 4.8,157.88,155.81,160.16,2026-05-28,Anthropic,United States of America,API access,Closed weights,
Kimi K3,Kimi K3,157.01,154.75,159.64,2026-07-16,Moonshot,China,Open weights (non-commercial),Open weights,
GPT-5.4,GPT-5.4,156.69,154.78,158.6,2026-03-05,OpenAI,United States of America,API access,Closed weights,
GPT-5.6 Luna,GPT-5.6 Luna,156.13,153.92,158.31,2026-07-09,OpenAI,United States of America,API access,Closed weights,
Qwen 3.8 Max,Qwen 3.8 Max,156.05,153.67,158.11,2026-07-19,Alibaba,China,API access,Closed weights,
Claude Opus 4.7,Claude Opus 4.7,155.76,153.99,157.7,2026-04-16,Anthropic,United States of America,API access,Closed weights,
GPT-5.3 Codex,GPT-5.3 Codex,155.69,153.07,158.57,2026-02-05,OpenAI,United States of America,API access,Closed weights,
Claude Sonnet 5,Claude Sonnet 5,155.53,153.02,157.62,2026-06-30,Anthropic,United States of America,API access,Closed weights,
Claude Opus 4.6,Claude Opus 4.6,155.15,153.22,156.95,2026-02-05,Anthropic,United States of America,API access,Closed weights,
GPT-5.2 Pro,GPT-5.2 Pro,155.03,153.06,157.25,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3.1 Pro,Gemini 3.1 Pro,154.75,152.6,157.14,2026-02-19,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark 1.1,Muse Spark 1.1,154.75,152.01,157.17,2026-07-09,Meta AI,United States of America,API access,Closed weights,
Gemini 3.5 Flash,Gemini 3.5 Flash,154.56,152.58,156.62,2026-05-19,Google,United States of America,API access,Closed weights,
Grok 4.5,Grok 4.5,154.02,152.37,155.72,2026-07-08,xAI,United States of America,API access,Closed weights,
Gemini 3.6 Flash,Gemini 3.6 Flash,153.98,152.33,155.91,2026-07-21,Google DeepMind,United States of America,API access,Closed weights,
Qwen3.7-Max,Qwen3.7-Max,153.81,152.14,155.73,2026-05-19,Alibaba,China,API access,Closed weights,
GPT-5.2,GPT-5.2,153.52,151.85,155.27,2025-12-11,OpenAI,United States of America,API access,Closed weights,
Gemini 3 Pro,Gemini 3 Pro,153.2,151.28,155.13,2025-11-18,Google DeepMind,United States of America,API access,Closed weights,
Muse Spark,Muse Spark,152.79,150.67,156.97,2026-04-08,Meta AI,United States of America,API access,Closed weights,
DeepSeek V4 Flash 0731,DeepSeek V4 Flash 0731,152.53,150.49,154.13,2026-07-31,DeepSeek,China,Open weights (unrestricted),Open weights,
Claude Sonnet 4.6,Claude Sonnet 4.6,152.39,149.86,154.33,2026-02-17,Anthropic,United States of America,API access,Closed weights,
GLM-5.2,GLM-5.2,152.21,150.52,154.4,2026-06-16,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Grok 4.20,Grok 4.20,152.2,148.91,154.31,2026-02-17,xAI,United States of America,API access,Closed weights,
Gemini 3 Flash,Gemini 3 Flash,151.68,150.35,153.29,2025-12-17,Google DeepMind,United States of America,API access,Closed weights,
Kimi K2.6,Kimi K2.6,151.11,149.35,152.64,2026-04-20,Moonshot,China,Open weights (unrestricted),Open weights,
GLM-5.1,GLM-5.1,150.74,148.75,152.04,2026-04-07,Z.ai (Zhipu AI),China,Unknown,Other,
Kimi K2.7 Code,Kimi K2.7 Code,150.54,148.93,152.04,2026-06-12,Moonshot,China,Open weights (unrestricted),Open weights,
GPT-5 Pro,GPT-5 Pro,150.33,148.94,152.36,2025-10-07,OpenAI,United States of America,API access,Closed weights,
GPT-5.1-Codex-Max,GPT-5.1-Codex-Max,150.08,147.8,152.44,2025-11-19,OpenAI,United States of America,API access,Closed weights,
GPT-5,GPT-5,150.0,,,2025-08-07,OpenAI,United States of America,API access,Closed weights,
Claude Opus 4.5,Claude Opus 4.5,149.91,148.05,152.45,2025-11-24,Anthropic,United States of America,API access,Closed weights,
GPT-5.1,GPT-5.1,149.64,148.39,150.98,2025-11-13,OpenAI,United States of America,API access,Closed weights,
Inkling,Inkling,149.54,136.96,151.49,2026-07-15,Thinking Machines,United States of America,Open weights (unrestricted),Open weights,
Qwen 3.6 Max (Preview),Qwen 3.6 Max (Preview),149.39,147.73,153.07,2026-04-20,Alibaba,China,Unknown,Other,
DeepSeek-V4-Pro,DeepSeek-V4-Pro,149.07,147.39,151.09,2026-04-24,DeepSeek,China,Open weights (unrestricted),Open weights,
Grok 4.3 Beta,Grok 4.3 Beta,149.01,147.34,150.5,2026-04-17,xAI,United States of America,Hosted access (no API),Closed weights,
Qwen 3.6 Plus,Qwen 3.6 Plus,149.01,146.63,150.85,2026-04-01,Alibaba,China,API access,Closed weights,
GPT-5.4 Mini,GPT-5.4 Mini,148.91,147.37,150.34,2026-03-17,OpenAI,United States of America,API access,Closed weights,
MiniMax-M3,MiniMax-M3,148.74,144.72,151.02,2026-06-01,MiniMax,China,Open weights (restricted use),Open weights,
Kimi K2.5,Kimi K2.5,148.06,146.36,149.16,2026-02-02,Moonshot,China,Open weights (unrestricted),Open weights,
o3-pro,o3-pro,147.54,145.89,151.05,2025-06-10,OpenAI,United States of America,Unknown,Other,
o3,o3,146.9,145.08,148.42,2024-12-20,OpenAI,United States of America,API access,Closed weights,
Grok 4,Grok 4,146.85,145.09,148.42,2025-07-09,xAI,United States of America,API access,Closed weights,
Qwen 3.5 Plus (hosted 397B-A17B),Qwen 3.5 Plus (hosted 397B-A17B),146.84,144.45,147.89,2026-02-16,Alibaba,China,Unknown,Other,
Claude Sonnet 4.5,Claude Sonnet 4.5,146.83,144.96,148.22,2025-09-29,Anthropic,United States of America,API access,Closed weights,
MiniMax-M2.5,MiniMax-M2.5,146.66,141.22,147.82,2026-02-12,MiniMax,China,Open weights (unrestricted),Open weights,
DeepSeek-V3.2,DeepSeek-V3.2,146.37,144.4,147.4,2025-12-01,DeepSeek,China,Open weights (unrestricted),Open weights,
o4-mini,o4-mini,146.31,143.87,147.86,2025-04-16,OpenAI,United States of America,API access,Closed weights,
GPT-5.4 Nano,GPT-5.4 Nano,146.24,143.93,148.06,2026-03-17,OpenAI,United States of America,API access,Closed weights,
GLM-5,GLM-5,146.12,144.25,147.68,2026-02-11,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
MiniMax-M2.7,MiniMax-M2.7,145.89,138.46,147.93,2026-03-18,MiniMax,China,Open weights (non-commercial),Open weights,
Kimi K2 Thinking,Kimi K2 Thinking,145.86,143.47,147.2,2025-11-06,Moonshot,China,Open weights (restricted use),Open weights,
Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),145.77,144.06,147.43,2025-06-05,Google DeepMind,United States of America,API access,Closed weights,
GPT-5 mini,GPT-5 mini,145.64,143.45,147.05,2025-08-07,OpenAI,United States of America,API access,Closed weights,
DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp,144.79,141.88,146.68,2025-09-29,DeepSeek,China,Open weights (unrestricted),Open weights,
Qwen3-235B-A22B-Thinking (Jul 2025),Qwen3-235B-A22B-Thinking (Jul 2025),144.61,142.38,147.0,2025-07-25,Alibaba,China,Open weights (unrestricted),Open weights,
Gemini 2.5 Pro (Mar 2025),Gemini 2.5 Pro (Mar 2025),144.53,142.61,147.16,2025-03-25,Google DeepMind,United States of America,API access,Closed weights,
Grok 4 Fast,Grok 4 Fast,144.46,141.63,146.69,2025-09-19,xAI,United States of America,API access,Closed weights,
Claude Opus 4.1,Claude Opus 4.1,144.19,141.92,146.08,2025-08-05,Anthropic,United States of America,API access,Closed weights,
Gemini 3.1 Flash-Lite,Gemini 3.1 Flash-Lite,144.17,135.95,146.31,2026-03-03,Google,United States of America,API access,Closed weights,
Qwen 3.6 Flash,Qwen 3.6 Flash,144.11,141.09,145.58,2026-04-26,Alibaba,China,Unknown,Other,
Qwen 3.5 Flash (hosted 35B-A3B),Qwen 3.5 Flash (hosted 35B-A3B),143.94,140.76,145.99,2026-02-25,Alibaba,China,Unknown,Other,
GLM-4.7,GLM-4.7,143.71,141.48,145.44,2025-12-22,Z.ai (Zhipu AI),China,Open weights (unrestricted),Open weights,
Qwen3-Max,Qwen3-Max,143.62,139.93,154.31,2025-09-05,Alibaba,China,API access,Closed weights,
Qwen 3.6 35B-A3B,Qwen 3.6 35B-A3B,143.5,137.82,148.13,2026-04-14,Alibaba,China,Open weights (unrestricted),Open weights,
