benchmark_name,is_anchor,benchmark_release_date,edi,estimated_slope_scaled
TriviaQA,False,2017-05-09,55.855630109841314,0.020533854280849
LAMBADA,False,2016-06-20,57.584986849840334,0.02102068357815307
PIQA,False,2019-11-26,85.19024140520303,0.02171160145770712
HellaSwag,False,2019-05-19,85.91499038642462,0.04065214192253084
OpenBookQA,False,2018-09-08,105.31973588709265,0.0879087488922296
GSM8K,False,2021-10-27,105.36573752061322,0.10383817142274782
ARC AI2,False,2018-03-14,105.93716998405964,0.09771167148989536
Lech Mazur Writing,False,2025-01-31,107.45048134656966,0.03817627788445038
Winogrande,True,2019-07-24,110.06231258675015,0.0509782032946503
MMLU,False,2020-09-07,110.28100370174579,0.07479937462782286
ScienceQA,False,2022-09-20,110.7861538454155,0.09433939217158271
BBH,False,2022-10-17,113.26642755529507,0.09870609254224498
GeoBench,False,2025-03-01,119.60236496926025,0.03601829902779648
ANLI,False,2019-10-31,127.13555440976297,0.07747718717739814
MATH level 5,False,2021-03-05,128.02156953383846,0.17853660581084654
Fiction.LiveBench,False,2025-02-21,135.5035463524587,0.12741170780520333
GPQA diamond,False,2023-11-20,135.8714536427178,0.11785720251336951
METR Time Horizons,False,,135.9343196889269,0.05897770656900721
SWE-Bench verified,False,2024-08-13,136.32428407851344,0.0709186556291738
OTIS Mock AIME 2024-2025,False,2024-12-19,138.2232050991488,0.2290276779245108
Aider polyglot,False,2024-12-21,138.69110592527483,0.16820016692766002
CadEval,False,2025-04-22,140.16829901550372,0.09683243246819948
ARC-AGI,False,2019-11-05,145.49922637366498,0.24083888753954444
WeirdML,False,2025-01-16,145.68609907632117,0.08232543769180012
Cybench,False,2024-08-15,146.00733583949875,0.213709470009767
OSWorld,False,2024-04-11,146.18001539346653,0.13774133488502108
The Agent Company,False,2024-12-18,146.93641710402449,0.14586407558685086
Terminal Bench,False,2025-05-19,148.71071680101323,0.1655095889963584
Surface Evolver Bench,False,,149.16308757611162,0.14286720729464397
FrontierMath-2025-02-28-Private,False,2025-02-28,149.80596246703448,0.25343102737136625
FrontierMath-Tiers-1-3-v2-Private,False,,150.40547379514,0.1694687254519544
VPCT,False,2025-01-30,150.7623508863426,0.31622880090887556
SimpleBench,False,2024-10-31,151.41109431728492,0.09703436071638273
CursorBench,False,,152.57143267242176,0.1034461990114011
ARC-AGI-2,False,,153.48076222086124,0.3146354460828382
Balrog,False,2024-11-20,153.60702367495165,0.050361301043115606
SimpleQA Verified,False,,154.65238484473304,0.07948858500152998
DeepSWE,False,,155.39679294790145,0.1762465110047451
DeepResearch Bench,False,2025-06-13,155.8633046631499,0.027929770877717773
GDPval,False,,156.17572485528356,0.07665518649835543
ProofBench,False,,156.3138518759328,0.2607673183096561
FrontierMath-Tier-4-v2-Private,False,,156.94482776098837,0.28610255379693095
FrontierMath-Tier-4-2025-07-01-Private,False,,156.98930642204166,0.2713154453713034
ExploitBench,False,,157.66019977242394,0.22722917400882794
HLE,False,,159.61486602076903,0.13963690397411607
GSO-Bench,False,2025-05-29,159.65960391218147,0.1770299442699352
FrontierCode,False,,160.3083843403918,0.11613886751371691
Chess Puzzles,False,,160.56968214128455,0.1325721523439079
APEX-Agents,False,,161.62114182971618,0.11873085813188443
Mystery Game Puzzles,False,,161.69907195775286,0.1787736543566835
EBR-bench,False,,163.95644101151538,0.18292709030436133
CritPt,False,,165.7517609525477,0.16019541026803338
PostTrainBench,False,,166.8209150688475,0.09925375485802627
OSWorld 2.0,False,,172.712259072268,0.11101762023239431
Remote Labor Index,False,,173.3805332218459,0.1606870017954267
CL-bench Life,False,,176.3689945712194,0.07144660041732963
CL-bench,False,,181.76976889175674,0.045709832789275144
