entry,family,generation,params_B,release,n_obs,eci_A,eci_A_lo,eci_A_hi,eci_B,eci_B_lo,eci_B_hi,eci_C,eci_C_lo,eci_C_hi,eci_published
Gemma 1.1 2B IT [Instruction-tuned (IT)],Gemma,Gemma 1,2.0,2024-04,6,95.52251493503465,84.22458631712547,101.68532355639971,99.47863559608903,89.96425156626673,101.77364655650048,99.04297580732964,90.93893978566882,103.51252401561487,
Gemma 1.1 7B IT [Instruction-tuned (IT)],Gemma,Gemma 1,7.0,2024-04,12,105.32880695292013,102.77900148514726,108.8194576835338,105.98646005810072,103.86105275098822,109.17751981129696,107.21518690476425,105.7253477786046,110.51534852056325,
Gemma 2 27B IT [Instruction-tuned (IT)],Gemma,Gemma 2,27.0,2024-06,9,123.27313359764909,121.10700204673586,125.42347335235739,123.81512555928319,122.62684800820229,126.10111365192947,123.12888741253539,121.24766956124095,126.66048001097201,122.09
Gemma 2 27B [Pretrained (PT)],Gemma,Gemma 2,27.0,2024-06,23,115.06701869161992,110.61086674410905,118.39511617971995,114.57560247823386,112.71383257557144,117.18793630248041,115.48112421883117,113.45213881832035,117.93380515428335,
Gemma 2 2B IT [Instruction-tuned (IT)],Gemma,Gemma 2,2.0,2024-07,6,110.06113578374766,103.32438818284027,113.82218326283568,112.0034194590529,107.17536161715448,114.78295433003034,110.84862681389562,105.87170353449194,114.9212221774796,
Gemma 2 2B [Pretrained (PT)],Gemma,Gemma 2,2.0,2024-07,23,97.9226888022475,95.01038486878154,100.90030897621183,97.99499274354064,96.28485705784946,99.52894520701616,101.19802541389075,99.4265502572738,104.48576679554559,
Gemma 2 9B IT [Instruction-tuned (IT)],Gemma,Gemma 2,9.0,2024-06,9,119.66898304308192,117.27405138195718,121.13224859274699,120.83074255377647,119.21203344934217,122.61736391678664,120.10500742675627,118.90902012765407,123.2474339026953,119.14
Gemma 2 9B [Pretrained (PT)],Gemma,Gemma 2,9.0,2024-06,23,111.95995821224096,108.81210274546729,114.92851298905266,111.4562139070541,109.69859863552335,113.79913242868201,112.81969587238645,110.66085949417902,116.21532973874378,
Gemma 2B IT [Instruction-tuned (IT)],Gemma,Gemma 1,2.0,2024-02,13,89.02008019191553,83.7761984428773,94.4555224442804,91.14476080806057,86.4866763196489,93.94178088786808,93.33167529215568,90.5405951911213,97.76451304930237,
Gemma 2B [Pretrained (PT)],Gemma,Gemma 1,2.0,2024-02,24,94.13279198693255,90.83435254776154,97.5511927770701,94.95842294104891,93.06411974477852,96.18586251672369,98.0525763562051,95.82346664089039,101.44247541116906,92.8
